loan_id,loan_amount,term_months,grade,sub_grade,int_rate,emp_length_years,home_ownership,annual_income,verification_status,purpose,dti,fico_range_low,fico_range_high,delinq_2yrs,pub_rec,open_acc,total_acc,revol_bal,revol_util,collections_12_mths_ex_med,collateral_flag,collateral_value,total_pymnt_before_default,outstanding_principal,days_past_due_at_default,months_in_recovery,recovery_status,payment_plan_status,recoveries,collection_recovery_fee,recovery_rate
ARC100670,15200.0,36,C,C5,14.05,0.0,RENT,15000.0,Not Verified,credit_card,13.16,720,724,0,0,2,26,5520.0,,0,0,,7911.42,7288.58,110,26,Closed,Broken,4732.47,299.58,0.6493
ARC107371,13800.0,60,A,A2,5.87,10.0,RENT,22100.0,Source Verified,debt_consolidation,15.66,634,638,0,0,8,13,11750.0,,1,0,,1794.14,12005.86,164,11,Closed,Broken,3750.63,308.91,0.3124
ARC106501,22000.0,60,E,E5,20.66,4.0,MORTGAGE,24800.0,Source Verified,other,18.61,664,668,1,0,16,28,8380.0,43.5,0,0,,2081.94,19918.06,63,9,Active,Broken,3392.05,204.95,0.1703
ARC101031,11100.0,36,D,D3,16.08,3.0,MORTGAGE,,Not Verified,debt_consolidation,13.57,670,674,0,0,13,36,2620.0,32.7,0,0,,567.32,10532.68,215,31,Closed,Broken,4365.8,603.75,0.4145
ARC105125,22400.0,60,A,A1,7.42,3.0,MORTGAGE,125800.0,Not Verified,credit_card,30.8,620,624,1,0,4,13,44310.0,53.6,0,0,,14037.12,8362.88,338,19,Closed,No_Plan,1292.9,172.32,0.1546
ARC103534,12800.0,60,C,C3,15.59,10.0,OWN,,Not Verified,home_improvement,14.49,619,623,0,1,5,28,7520.0,76.7,0,1,11900.0,5530.39,7269.61,71,32,Closed,Active,3490.87,435.54,0.4802
ARC106085,4700.0,36,E,E1,20.06,6.0,MORTGAGE,20500.0,Not Verified,debt_consolidation,23.34,652,656,0,0,5,21,14010.0,64.7,0,0,,73.98,4626.02,96,28,Closed,No_Plan,933.99,76.95,0.2019
ARC104782,6200.0,36,D,D3,15.84,10.0,OWN,53300.0,Source Verified,debt_consolidation,19.69,742,746,0,0,4,21,36560.0,27.3,0,0,,325.25,5874.75,75,33,Closed,Completed,3471.98,349.31,0.591
ARC108567,10100.0,36,A,A3,6.69,3.0,OWN,70900.0,Verified,small_business,30.96,659,663,0,0,9,29,26540.0,29.7,0,1,8600.0,2443.42,7656.58,37,34,Closed,Broken,1898.83,195.74,0.248
ARC108665,2400.0,60,B,B4,10.34,,MORTGAGE,58800.0,Verified,debt_consolidation,11.3,624,628,1,0,17,27,10690.0,78.5,0,0,,987.61,1412.39,30,18,Closed,Active,559.45,67.86,0.3961
ARC107921,18300.0,36,D,D1,17.8,9.0,RENT,60100.0,Not Verified,small_business,12.72,732,736,0,0,18,26,1340.0,79.9,1,0,,2361.88,15938.12,167,1,Active,Broken,841.53,97.62,0.0528
ARC102969,9700.0,60,A,A3,7.48,10.0,MORTGAGE,38900.0,Not Verified,debt_consolidation,-999.0,725,729,0,0,16,38,5330.0,29.1,1,0,,3988.96,5711.04,188,14,Closed,Active,3073.11,443.75,0.5381
ARC101150,11000.0,36,C,C4,15.47,9.0,own,61400.0,Verified,medical,5.73,706,710,1,0,7,14,340.0,,0,0,,1666.52,9333.48,109,25,Closed,Active,5392.88,454.72,0.5778
ARC108574,3600.0,36,A,A2,5.5,10.0,OWN,52000.0,Verified,credit_card,28.65,649,653,0,0,17,35,16730.0,17.8,0,0,,503.92,3096.08,87,23,Closed,Broken,726.03,46.84,0.2345
ARC100807,5000.0,60,B,B5,10.06,3.0,OWN,48400.0,Verified,car,26.83,648,652,1,0,4,25,8050.0,46.3,0,0,,1296.61,3703.39,146,33,Closed,Broken,1033.62,125.58,0.2791
ARC104756,10900.0,36,A,A5,8.09,10.0,RENT,50000.0,Not Verified,debt_consolidation,26.7,675,679,1,0,5,13,3870.0,61.8,0,0,,3169.85,7730.15,106,4,Active,Active,2337.6,145.47,0.3024
ARC106611,5500.0,36,B,B2,10.31,3.0,OWN,38100.0,Verified,debt_consolidation,8.89,637,641,1,0,18,35,11280.0,10.5,0,0,,1304.81,4195.19,296,1,Active,Broken,1121.37,73.7,0.2673
ARC106029,2900.0,60,A,A2,7.25,6.0,RENT,37000.0,Not Verified,home_improvement,18.62,677,681,0,0,6,18,1800.0,49.9,0,1,3600.0,279.4,2620.6,30,1,Active,Broken,709.92,55.77,0.2709
ARC101389,6000.0,60,G,G4,24.82,6.0,RENT,,Source Verified,debt_consolidation,24.79,642,646,0,1,6,27,1940.0,55.6,0,0,,2471.61,3528.39,106,24,Closed,No_Plan,1028.17,152.48,0.2914
ARC105522,6400.0,60,C,C3,12.88,4.0,MORTGAGE,,Not Verified,small_business,17.22,673,677,0,0,14,33,1880.0,51.6,0,1,7000.0,1006.63,5393.37,74,29,Closed,Broken,3305.6,324.72,0.6129
ARC101665,6700.0,36,D,D5,16.92,10.0,MORTGAGE,52700.0,Verified,debt_consolidation,13.52,600,604,0,1,14,37,5550.0,53.9,0,0,,394.97,6305.03,264,9,Closed,No_Plan,1402.24,169.34,0.2224
ARC107859,17400.0,36,D,D3,16.25,10.0,MORTGAGE,32500.0,Verified,car,25.84,625,629,0,0,9,22,13110.0,,0,0,,5049.5,12350.5,214,13,Closed,No_Plan,2365.12,210.25,0.1915
ARC105789,21100.0,36,C,C1,13.84,8.0,OWN,44500.0,Not Verified,debt_consolidation,6.54,716,720,0,1,19,26,20250.0,43.8,0,0,,10905.19,10194.81,126,8,Closed,Broken,2883.09,280.01,0.2828
ARC100384,4100.0,36,B,B1,12.53,10.0,RENT,28500.0,Verified,major_purchase,20.64,642,646,0,0,16,25,8990.0,52.4,0,1,5100.0,867.43,3232.57,188,21,Closed,Active,1898.17,104.47,0.5872
ARC101722,6900.0,36,D,D5,15.17,1.0,MORTGAGE,49200.0,Verified,debt_consolidation,16.7,643,647,0,1,14,19,5450.0,56.6,0,0,,1454.28,5445.72,36,34,Closed,Broken,1988.23,295.3,0.3651
ARC106711,7900.0,36,A,A2,5.92,10.0,RENT,43300.0,Source Verified,debt_consolidation,14.01,640,644,0,0,15,36,87130.0,53.8,0,0,,892.57,7007.43,273,30,Closed,Broken,2756.02,232.14,0.3933
ARC102667,8500.0,36,B,B5,11.85,4.0,RENT,,Verified,small_business,21.68,683,687,1,0,17,34,16940.0,38.0,1,0,,807.81,7692.19,195,24,Closed,Active,2554.58,140.24,0.3321
ARC102307,10000.0,36,D,D2,15.79,10.0,RENT,48100.0,Source Verified,medical,22.49,665,669,0,0,2,12,5580.0,72.7,0,0,,2800.62,7199.38,96,11,Closed,Active,2591.78,329.1,0.36
ARC105766,7600.0,60,B,B5,9.05,3.0,RENT,69300.0,Not Verified,small_business,20.78,683,687,1,0,18,27,7190.0,29.8,0,0,,1983.54,5616.46,146,25,Closed,Active,2162.9,241.58,0.3851
ARC106884,8700.0,36,C,C4,16.05,10.0,OWN,42700.0,Source Verified,debt_consolidation,2.73,684,688,0,0,18,32,6410.0,69.8,0,0,,1193.06,7506.94,140,2,Active,Active,1837.7,239.47,0.2448
ARC101884,3300.0,36,E,E2,18.4,10.0,MORTGAGE,57700.0,Not Verified,credit_card,30.76,663,667,0,0,5,21,37100.0,94.7,0,1,3300.0,998.77,2301.23,174,15,Closed,Completed,1661.26,121.7,0.7219
ARC106942,7300.0,36,D,D1,16.65,7.0,OWN,,Source Verified,major_purchase,10.85,600,604,0,0,10,27,1480.0,75.8,0,0,,1959.67,5340.33,32,21,Closed,Active,1825.86,123.97,0.3419
ARC101002,7900.0,60,C,C1,13.18,10.0,MORTGAGE,41300.0,Verified,debt_consolidation,3.42,701,705,0,0,15,17,30590.0,79.8,0,0,,1032.03,6867.97,158,30,Closed,Active,4657.17,321.22,0.6781
ARC103152,12500.0,60,D,D4,17.46,,RENT,49400.0,Verified,debt_consolidation,8.06,716,720,1,0,16,22,6840.0,27.8,0,0,,3386.59,9113.41,242,33,Closed,Active,4507.49,295.03,0.4946
ARC103792,8100.0,36,D,D1,16.98,4.0,OWN,101800.0,Verified,debt_consolidation,10.34,699,703,0,1,11,15,4060.0,75.2,0,0,,540.57,7559.43,218,34,Closed,Broken,2478.74,175.87,0.3279
ARC100632,7900.0,36,B,B1,9.48,5.0,RENT,,Not Verified,debt_consolidation,9.72,752,756,0,0,11,30,42160.0,62.5,0,0,,1168.79,6731.21,125,20,Closed,Completed,5040.33,748.3,0.7488
ARC106552,8600.0,36,C,C5,14.49,8.0,MORTGAGE,21700.0,Verified,debt_consolidation,10.06,702,706,0,0,13,20,4150.0,44.9,1,0,,2910.68,5689.32,215,33,Closed,Broken,1904.22,130.66,0.3347
ARC102013,9800.0,36,E,E2,19.21,10.0,OWN,,Verified,credit_card,28.6,641,645,0,0,15,16,6040.0,64.2,0,0,,1095.54,8704.46,61,3,Active,Broken,577.98,60.05,0.0664
ARC103715,6200.0,36,B,B5,10.49,2.0,MORTGAGE,33500.0,Not Verified,home_improvement,17.55,604,608,0,0,9,19,1000.0,91.6,0,0,,1760.88,4439.12,87,21,Closed,Broken,1397.88,203.69,0.3149
ARC105401,14800.0,36,E,E2,20.79,1.0,MORTGAGE,61500.0,Source Verified,debt_consolidation,21.24,653,657,0,1,9,15,6710.0,78.5,0,1,13600.0,3791.31,11008.69,86,6,Active,Broken,1034.82,127.71,0.094
ARC102908,5100.0,36,A,A4,7.83,10.0,OWN,60400.0,Source Verified,credit_card,7.82,669,673,1,0,6,24,5800.0,67.3,0,0,,1032.8,4067.2,228,9,Closed,Broken,1686.67,243.71,0.4147
ARC103577,11000.0,36,F,F2,20.75,1.0,RENT,146800.0,Verified,debt_consolidation,7.83,666,670,1,0,7,17,5310.0,,0,0,,2186.56,8813.44,31,9,Active,Broken,772.94,44.91,0.0877
ARC102888,8000.0,36,A,A5,7.1,1.0,RENT,,Source Verified,debt_consolidation,24.8,734,738,0,0,15,28,44660.0,52.3,0,0,,58.82,7941.18,125,35,Closed,Broken,2749.24,327.17,0.3462
ARC107366,7800.0,36,F,F2,22.8,8.0,RENT,82900.0,Verified,debt_consolidation,27.89,647,651,0,0,3,21,3690.0,70.9,0,0,,2306.05,5493.95,45,24,Closed,Broken,1811.9,245.88,0.3298
ARC101332,16000.0,36,B,B4,9.92,10.0,RENT,40400.0,Not Verified,debt_consolidation,0.0,631,635,0,0,17,40,6760.0,39.9,0,0,,6026.52,9973.48,129,21,Closed,Active,6305.23,615.76,0.6322
ARC104569,12600.0,60,A,A4,8.11,10.0,MORTGAGE,92700.0,Source Verified,debt_consolidation,24.63,629,633,0,1,18,21,3540.0,85.9,0,0,,2599.12,10000.88,215,23,Closed,No_Plan,1645.14,117.26,0.1645
ARC101350,8600.0,60,A,A2,7.79,2.0,MORTGAGE,108100.0,Verified,small_business,12.1,684,688,0,0,7,20,2480.0,64.7,0,1,9600.0,384.74,8215.26,185,25,Closed,Active,5732.61,641.92,0.6978
ARC106445,25500.0,60,D,D2,17.21,10.0,RENT,66500.0,Verified,small_business,20.38,693,697,0,0,3,24,37120.0,47.2,0,0,,8914.63,16585.37,59,22,Closed,Active,6710.44,493.85,0.4046
ARC104087,3900.0,60,B,B1,10.95,10.0,MORTGAGE,,Not Verified,debt_consolidation,26.42,737,741,2,0,11,15,860.0,48.7,1,0,,531.75,3368.25,132,4,Active,Completed,1018.9,50.98,0.3025
ARC106796,8200.0,36,D,D5,18.68,2.0,OWN,62500.0,Source Verified,debt_consolidation,,673,677,1,0,11,24,670.0,48.4,0,0,,719.08,7480.92,54,16,Closed,Active,2926.54,183.66,0.3912
ARC102587,21500.0,36,B,B1,11.1,5.0,RENT,165800.0,Verified,debt_consolidation,0.0,713,717,0,0,13,25,10040.0,21.3,0,1,10400.0,4123.04,17376.96,55,35,Closed,Completed,15354.28,1640.81,0.8836
ARC108421,8100.0,60,F,F3,21.49,5.0,RENT,20200.0,Source Verified,credit_card,27.44,678,682,1,0,19,19,8520.0,40.8,0,0,,3317.1,4782.9,99,14,Closed,Broken,2899.87,364.7,0.6063
ARC102735,7900.0,36,D,D2,17.15,10.0,MORTGAGE,58300.0,Source Verified,car,16.42,627,631,0,0,6,16,8910.0,3.1,0,0,,1627.9,6272.1,279,22,Closed,Active,2636.16,300.97,0.4203
ARC108123,6400.0,60,C,C5,16.79,7.0,RENT,,Verified,other,9.88,600,604,0,0,12,21,10230.0,44.6,0,0,,2578.94,3821.06,241,19,Closed,Active,1693.88,244.22,0.4433
ARC102441,13600.0,36,D,D4,15.38,10.0,MORTGAGE,113100.0,Verified,debt_consolidation,17.01,694,698,0,1,16,31,1110.0,28.3,0,1,5600.0,5716.4,7883.6,30,30,Closed,Broken,3164.48,211.1,0.4014
ARC100217,20700.0,60,C,C5,12.33,10.0,RENT,65200.0,Not Verified,debt_consolidation,14.68,686,690,0,0,18,40,8510.0,76.5,0,0,,8008.37,12691.63,101,21,Closed,Completed,9429.88,1069.73,0.743
ARC108388,12700.0,36,D,D3,17.56,10.0,MORTGAGE,56900.0,Source Verified,other,11.68,709,713,0,0,17,29,81610.0,55.3,0,0,,3234.49,9465.51,50,1,Active,Completed,3337.54,317.0,0.3526
ARC108534,10500.0,60,C,C5,13.44,2.0,RENT,46900.0,Not Verified,credit_card,15.59,686,690,0,0,10,18,19110.0,73.3,0,0,,1319.78,9180.22,68,17,Closed,Broken,3958.51,472.24,0.4312
ARC105606,8800.0,36,C,C3,13.34,0.0,MORTGAGE,65800.0,Verified,debt_consolidation,3.54,736,740,0,0,5,24,2830.0,64.1,0,1,9300.0,2237.49,6562.51,43,30,Closed,Active,4297.79,355.09,0.6549
ARC102125,11000.0,36,B,B1,9.93,10.0,MORTGAGE,62500.0,Verified,major_purchase,25.73,660,664,1,0,8,21,3570.0,52.9,0,0,,1881.55,9118.45,202,13,Closed,Broken,2753.77,301.92,0.302
ARC100650,27300.0,36,F,F1,21.97,9.0,RENT,36800.0,Verified,debt_consolidation,20.15,664,668,1,0,12,31,2310.0,68.4,1,0,,3769.2,23530.8,131,33,Closed,Broken,7906.35,580.15,0.336
ARC103383,6900.0,60,B,B5,9.42,1.0,RENT,,Source Verified,debt_consolidation,9.33,683,687,0,0,8,20,5040.0,60.5,0,0,,3916.54,2983.46,127,13,Closed,Broken,1411.77,99.35,0.4732
ARC101581,9100.0,60,A,A4,8.9,10.0,RENT,21300.0,Source Verified,car,8.33,717,721,0,0,12,29,14240.0,15.7,0,0,,1568.3,7531.7,205,12,Closed,Active,3621.99,232.73,0.4809
ARC105602,14000.0,36,C,C1,11.52,3.0,OWN,91300.0,Verified,debt_consolidation,31.46,647,651,0,0,9,12,4690.0,90.7,0,0,,5285.47,8714.53,53,17,Closed,Broken,3403.9,300.06,0.3906
ARC105853,4400.0,36,D,D5,16.05,0.0,RENT,41400.0,Not Verified,debt_consolidation,19.13,675,679,0,0,6,22,1730.0,69.2,0,1,2500.0,45.1,4354.9,153,8,Active,Broken,273.49,22.16,0.0628
ARC107383,7800.0,36,A,A1,8.5,7.0,MORTGAGE,53700.0,Not Verified,home_improvement,-999.0,724,728,0,0,3,15,3590.0,26.8,0,0,,674.95,7125.05,158,16,Closed,Completed,5306.02,379.25,0.7447
ARC100359,9100.0,60,C,C3,12.33,,RENT,,Source Verified,debt_consolidation,21.74,670,674,2,0,13,25,7500.0,45.5,0,0,,1812.84,7287.16,543,9,Closed,Active,1477.84,166.71,0.2028
ARC101960,10800.0,60,D,D3,17.8,0.0,MORTGAGE,25700.0,Source Verified,credit_card,37.08,600,604,0,1,3,8,5750.0,3.5,0,0,,3432.03,7367.97,65,12,Closed,Broken,1905.36,253.89,0.2586
ARC105723,40000.0,36,C,C3,14.66,9.0,MORTGAGE,85200.0,Verified,major_purchase,18.45,600,604,0,0,4,17,4750.0,67.0,0,1,51200.0,8640.8,31359.2,218,21,Closed,Broken,8714.72,986.52,0.2779
ARC106018,17800.0,60,A,A5,6.75,10.0,RENT,134900.0,Source Verified,credit_card,11.97,602,606,1,0,6,27,47760.0,56.8,0,0,,4034.81,13765.19,114,32,Closed,Active,6026.4,806.63,0.4378
ARC100419,20800.0,60,D,D1,13.64,5.0,OWN,17000.0,Source Verified,medical,16.71,715,719,0,0,10,11,8140.0,35.7,0,0,,11039.67,9760.33,203,13,Closed,Active,5413.08,492.67,0.5546
ARC100180,20300.0,36,B,B1,9.61,8.0,MORTGAGE,,Verified,debt_consolidation,16.96,629,633,0,0,4,13,4870.0,25.5,0,0,,5233.33,15066.67,30,5,Active,Broken,1111.92,86.39,0.0738
ARC108323,14300.0,60,A,A2,8.02,10.0,MORTGAGE,106200.0,Not Verified,credit_card,22.46,649,653,0,0,10,19,17450.0,27.0,0,0,,8494.49,5805.51,91,29,Closed,Broken,2578.81,255.1,0.4442
ARC102537,4100.0,60,D,D1,17.86,4.0,MORTGAGE,108400.0,Source Verified,credit_card,35.27,667,671,0,0,18,24,22450.0,15.1,0,1,3500.0,896.94,3203.06,146,26,Closed,Active,1384.68,119.12,0.4323
ARC102674,8700.0,60,C,C4,14.53,2.0,RENT,15300.0,Verified,home_improvement,18.09,600,604,0,0,7,17,14120.0,62.9,0,1,10700.0,2518.95,6181.05,151,9,Closed,Broken,1674.45,217.59,0.2709
ARC103854,10400.0,60,E,E5,19.01,10.0,RENT,24300.0,Not Verified,home_improvement,12.64,644,648,0,0,6,12,6720.0,34.9,0,1,11900.0,1153.11,9246.89,105,17,Closed,Completed,6753.93,356.91,0.7304
ARC104094,13400.0,60,A,A2,8.0,,MORTGAGE,35900.0,Source Verified,home_improvement,30.46,664,668,0,0,2,14,4290.0,31.3,0,1,5700.0,4790.09,8609.91,98,32,Closed,Active,3895.12,399.33,0.4524
ARC100786,10100.0,36,D,D5,15.91,1.0,MORTGAGE,120500.0,Not Verified,other,23.82,640,644,0,0,6,19,6630.0,,0,0,,4201.27,5898.73,104,8,Closed,Broken,2500.47,176.62,0.4239
ARC108893,14600.0,60,C,C4,12.21,1.0,RENT,74400.0,Verified,debt_consolidation,12.94,739,743,0,0,17,34,1310.0,24.1,0,0,,7626.88,6973.12,30,30,Closed,Broken,1857.64,200.3,0.2664
ARC100370,10000.0,36,B,B1,11.33,9.0,OWN,48900.0,Source Verified,medical,30.67,659,663,0,0,8,26,3060.0,0.0,0,1,8600.0,6663.06,3336.94,104,15,Closed,Active,2005.83,287.4,0.6011
ARC104282,15300.0,36,G,G1,26.02,6.0,RENT,28800.0,Source Verified,credit_card,18.32,700,704,0,0,9,30,3920.0,61.6,0,1,17500.0,4681.96,10618.04,137,11,Closed,Active,5614.82,382.89,0.5288
ARC108408,17200.0,36,C,C1,12.87,,OWN,46200.0,Verified,credit_card,16.95,620,624,0,0,3,19,5760.0,66.1,0,0,,5731.78,11468.22,199,6,Active,Active,2512.69,148.07,0.2191
ARC107226,4900.0,36,A,A4,7.45,10.0,RENT,27100.0,Source Verified,credit_card,6.67,705,709,0,0,4,10,1890.0,36.1,0,0,,1547.36,3352.64,125,1,Active,Broken,775.13,88.52,0.2312
ARC101182,6400.0,36,C,C2,13.07,,OWN,80400.0,Verified,home_improvement,11.39,712,716,1,0,19,29,7900.0,84.9,0,1,3000.0,1685.56,4714.44,65,17,Closed,Active,2959.73,293.19,0.6278
ARC106403,4600.0,60,C,C3,11.91,5.0,MORTGAGE,52700.0,Not Verified,small_business,11.04,761,765,0,0,14,24,5680.0,13.8,0,1,5100.0,440.93,4159.07,186,29,Closed,Completed,3277.35,321.99,0.788
ARC106689,26900.0,36,A,A1,8.32,0.0,OWN,73600.0,Not Verified,debt_consolidation,22.46,658,662,1,0,17,38,3690.0,,0,0,,9126.04,17773.96,201,35,Closed,No_Plan,2939.81,410.01,0.1654
ARC107600,11400.0,60,C,C2,12.7,1.0,OWN,29100.0,Not Verified,debt_consolidation,20.77,667,671,0,0,10,33,1200.0,22.3,0,0,,465.35,10934.65,254,31,Closed,Broken,2845.2,310.41,0.2602
ARC106731,9400.0,60,A,A3,9.53,5.0,MORTGAGE,53600.0,Source Verified,debt_consolidation,14.34,690,694,0,0,10,10,54050.0,62.9,0,0,,2993.78,6406.22,189,24,Closed,Completed,3884.09,321.1,0.6063
ARC103732,40000.0,36,B,B5,10.5,2.0,MORTGAGE,28300.0,Verified,small_business,20.3,725,729,0,1,18,20,1340.0,73.9,0,0,,14379.11,25620.89,119,11,Closed,No_Plan,5403.45,666.21,0.2109
ARC101070,8900.0,36,D,D3,15.51,7.0,RENT,65100.0,Verified,credit_card,10.55,671,675,0,1,11,27,9290.0,50.9,0,0,,497.66,8402.34,60,15,Closed,Broken,3755.01,201.7,0.4469
ARC108057,19800.0,60,B,B4,8.64,3.0,rent,64200.0,Source Verified,small_business,26.82,632,636,0,0,14,31,15180.0,52.4,0,1,20000.0,6168.65,13631.35,92,7,Active,Active,3518.25,181.75,0.2581
ARC108411,14500.0,60,E,E3,21.37,3.0,MORTGAGE,51100.0,Verified,debt_consolidation,-999.0,717,721,0,0,2,25,3570.0,86.5,0,0,,3023.85,11476.15,89,12,Closed,Active,6935.04,695.78,0.6043
ARC103560,14700.0,60,C,C4,14.29,10.0,RENT,174000.0,Source Verified,medical,9.59,635,639,1,0,18,19,6140.0,61.4,0,0,,5942.15,8757.85,179,16,Closed,Broken,3165.96,230.54,0.3615
ARC100502,6700.0,36,C,C5,14.73,10.0,RENT,69500.0,Verified,major_purchase,,715,719,0,0,18,27,7640.0,45.2,0,1,3900.0,3228.11,3471.89,296,24,Closed,Completed,2350.82,332.19,0.6771
ARC100756,6000.0,36,C,C2,13.08,2.0,RENT,38000.0,Verified,debt_consolidation,0.0,647,651,0,0,16,25,7150.0,61.6,0,0,,662.92,5337.08,196,8,Active,Active,1629.94,206.71,0.3054
ARC107277,8600.0,36,C,C1,14.32,0.0,RENT,,Not Verified,credit_card,10.54,755,759,0,0,10,14,8220.0,58.4,0,0,,1475.93,7124.07,71,10,Closed,Active,4664.84,551.2,0.6548
ARC106735,14400.0,36,C,C2,12.68,3.0,RENT,,Verified,credit_card,28.16,706,710,0,0,6,21,8210.0,84.8,0,0,,6179.95,8220.05,119,9,Closed,Broken,3144.17,273.76,0.3825
ARC100531,5900.0,36,F,F3,21.85,10.0,RENT,,Verified,debt_consolidation,18.89,652,656,0,1,10,27,15890.0,44.8,0,0,,2068.2,3831.8,35,9,Active,Broken,619.22,91.18,0.1616
ARC102086,9400.0,60,G,G3,25.47,3.0,MORTGAGE,34100.0,Verified,debt_consolidation,8.78,638,642,0,0,18,31,1650.0,32.9,0,0,,5400.42,3999.58,53,18,Closed,No_Plan,1070.69,65.25,0.2677
ARC105808,7300.0,60,F,F2,22.51,6.0,RENT,84300.0,Not Verified,debt_consolidation,,643,647,1,0,16,18,21510.0,68.7,0,0,,852.25,6447.75,142,17,Closed,No_Plan,2217.38,140.16,0.3439
ARC107784,5400.0,60,D,D4,15.0,2.0,MORTGAGE,150500.0,Not Verified,debt_consolidation,7.01,707,711,1,0,15,27,4250.0,0.0,0,0,,1544.4,3855.6,238,8,Active,Active,980.48,127.88,0.2543
ARC107185,13800.0,36,C,C4,12.81,10.0,RENT,23100.0,Verified,debt_consolidation,23.02,664,668,0,0,3,16,2910.0,19.0,0,0,,3491.32,10308.68,167,2,Active,Active,2240.08,238.9,0.2173
ARC107997,4800.0,60,D,D1,17.21,0.0,MORTGAGE,95700.0,Not Verified,debt_consolidation,4.28,686,690,0,0,5,9,10770.0,24.4,0,0,,2857.71,1942.29,38,15,Closed,Completed,1432.63,199.37,0.7376
ARC105801,4600.0,60,B,B5,8.77,1.0,MORTGAGE,49600.0,Not Verified,debt_consolidation,22.33,600,604,0,0,2,4,870.0,101.6,0,0,,2177.68,2422.32,44,24,Closed,No_Plan,702.47,70.61,0.29
ARC103522,8300.0,60,E,E3,19.15,2.0,OWN,23100.0,Not Verified,home_improvement,26.54,623,627,0,0,10,12,6410.0,40.8,0,0,,3552.77,4747.23,102,17,Closed,No_Plan,966.06,68.09,0.2035
ARC106544,7800.0,36,E,E1,19.73,3.0,MORTGAGE,35200.0,Source Verified,major_purchase,25.12,600,604,0,1,8,20,15980.0,62.4,0,0,,4670.74,3129.26,95,9,Active,No_Plan,94.5,7.76,0.0302
ARC101059,12600.0,60,A,A1,6.66,0.0,MORTGAGE,120400.0,Verified,debt_consolidation,20.59,685,689,3,0,9,21,5900.0,45.6,0,0,,5030.96,7569.04,137,26,Closed,No_Plan,1781.75,140.16,0.2354
